non-preferred name	preferred name
citrate synthetase	citrate (Si)-synthase
citric synthase	citrate (Si)-synthase
citric-condensing enzyme	citrate (Si)-synthase
citrogenase	citrate (Si)-synthase
condensing enzyme	citrate (Si)-synthase
oxalacetic transacetase	citrate (Si)-synthase
oxaloacetate transacetase	citrate (Si)-synthase
2-methylcitrate oxaloacetate-lyase	2-methylcitrate synthase
MCS	2-methylcitrate synthase
methylcitrate synthase	2-methylcitrate synthase
methylcitrate synthetase	2-methylcitrate synthase
3-carboxy-3-hydroxy-4-methylpentanoate 3-methyl-2-oxobutanoate-lyase (CoA-acetylating)	2-isopropylmalate synthase
alpha-IPM synthetase	2-isopropylmalate synthase
alpha-isopropylmalate synthase	2-isopropylmalate synthase
alpha-isopropylmalate synthetase	2-isopropylmalate synthase
alpha-isopropylmalic synthetase	2-isopropylmalate synthase
isopropylmalate synthase	2-isopropylmalate synthase
isopropylmalate synthetase	2-isopropylmalate synthase
sucrose 6-fructosyltransferase	levansucrase
D-enzyme	4-alpha-glucanotransferase
dextrin glycosyltransferase	4-alpha-glucanotransferase
disproportionating enzyme	4-alpha-glucanotransferase
oligo-1,4-1,4-glucantransferase	4-alpha-glucanotransferase
OPRT	orotate phosphoribosyltransferase
orotidine-5'-phosphate diphosphorylase	orotate phosphoribosyltransferase
orotidine-5'-phosphate pyrophosphorylase	orotate phosphoribosyltransferase
orotidylic acid phosphorylase	orotate phosphoribosyltransferase
niacin ribonucleotidase	nicotinate phosphoribosyltransferase
nicotinic acid mononucleotide glycohydrolase	nicotinate phosphoribosyltransferase
nicotinic acid mononucleotide pyrophosphorylase	nicotinate phosphoribosyltransferase
nicotinic acid phosphoribosyltransferase	nicotinate phosphoribosyltransferase
glutamine phosphoribosylpyrophosphate amidotransferase	amidophosphoribosyltransferase
phosphoribosyldiphosphate 5-amidotransferase	amidophosphoribosyltransferase
phosphoribosyl-ATP diphosphorylase	ATP phosphoribosyltransferase
phosphoribosyl-ATP pyrophosphorylase	ATP phosphoribosyltransferase
phosphoribosyl-anthranilate diphosphorylase	anthranilate phosphoribosyltransferase
phosphoribosyl-anthranilate pyrophosphorylase	anthranilate phosphoribosyltransferase
nicotinate-nucleotide pyrophosphorylase (carboxylating)	nicotinate-nucleotide diphosphorylase (carboxylating)
quinolinate phosphoribosyltransferase (decarboxylating)	nicotinate-nucleotide diphosphorylase (carboxylating)
N(1)-alpha-phosphoribosyltransferase	nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase
nicotinate mononucleotide-dimethylbenzimidazole phosphoribosyltransferase	nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase
enoylpyruvate transferase	UDP-N-acetylglucosamine 1-carboxyvinyltransferase
MurA transferase	UDP-N-acetylglucosamine 1-carboxyvinyltransferase
phosphoenolpyruvate-UDP-acetylglucosamine-3-enolpyruvyltransferase	UDP-N-acetylglucosamine 1-carboxyvinyltransferase
phosphoenolpyruvate:UDP-2-acetamido-2-deoxy-D-glucose 2-enoyl-1- carboxyethyltransferase	UDP-N-acetylglucosamine 1-carboxyvinyltransferase
phosphoenolpyruvate:uridine diphosphate N-acetylglucosamine enolpyruvyltransferase	UDP-N-acetylglucosamine 1-carboxyvinyltransferase
phosphoenolpyruvate:uridine-5'-diphospho-N-acetyl-2-amino-2-deoxyglucose 3-enolpyruvyltransferase	UDP-N-acetylglucosamine 1-carboxyvinyltransferase
phosphopyruvate-uridine diphosphoacetylglucosamine pyruvatetransferase	UDP-N-acetylglucosamine 1-carboxyvinyltransferase
pyruvate-UDP-acetylglucosamine transferase	UDP-N-acetylglucosamine 1-carboxyvinyltransferase
pyruvate-uridine diphospho-N-acetyl-glucosamine transferase	UDP-N-acetylglucosamine 1-carboxyvinyltransferase
pyruvate-uridine diphospho-N-acetylglucosamine transferase	UDP-N-acetylglucosamine 1-carboxyvinyltransferase
pyruvic-uridine diphospho-N-acetylglucosaminyltransferase	UDP-N-acetylglucosamine 1-carboxyvinyltransferase
UDP-N-acetylglucosamine 1-carboxyvinyl-transferase	UDP-N-acetylglucosamine 1-carboxyvinyltransferase
UDP-N-acetylglucosamine enoylpyruvyltransferase	UDP-N-acetylglucosamine 1-carboxyvinyltransferase
farnesyl diphosphate synthetase	geranyltranstransferase
farnesyl pyrophosphate synthetase	geranyltranstransferase
farnesyl-diphosphate synthase	geranyltranstransferase
FPP synthetase	geranyltranstransferase
DHPS	dihydropteroate synthase
dihydropteroate diphosphorylase	dihydropteroate synthase
dihydropteroate pyrophosphorylase	dihydropteroate synthase
3-enol-pyruvoylshikimate-5-phosphate synthase	3-phosphoshikimate 1-carboxyvinyltransferase
5-enolpyruvylshikimate-3-phosphate synthase	3-phosphoshikimate 1-carboxyvinyltransferase
EPSP synthase	3-phosphoshikimate 1-carboxyvinyltransferase
2-dehydro-3-deoxy-D-octonate-8-phosphate D-arabinose-5-phosphate-lyase (pyruvate-phosphorylating)	3-deoxy-8-phosphooctulonate synthase
2-dehydro-3-deoxy-phosphooctonate aldolase	3-deoxy-8-phosphooctulonate synthase
2-keto-3-deoxy-8-phosphooctonic synthetase	3-deoxy-8-phosphooctulonate synthase
3-deoxy-D-manno-octulosonate-8-phosphate synthase	3-deoxy-8-phosphooctulonate synthase
3-deoxy-D-manno-octulosonic acid 8-phosphate synthetase	3-deoxy-8-phosphooctulonate synthase
3-deoxy-D-mannooctulosonate-8-phosphate synthetase	3-deoxy-8-phosphooctulonate synthase
3-deoxyoctulosonic 8-phosphate synthetase	3-deoxy-8-phosphooctulonate synthase
KDO-8-P synthase	3-deoxy-8-phosphooctulonate synthase
KDO-8-phosphate synthetase	3-deoxy-8-phosphooctulonate synthase
KDOP synthase	3-deoxy-8-phosphooctulonate synthase
phospho-2-keto-3-deoxyoctonate aldolase	3-deoxy-8-phosphooctulonate synthase
beta-alanine--pyruvate aminotransferase	beta-alanine--pyruvate transaminase
omega-amino acid--pyruvate aminotransferase	beta-alanine--pyruvate transaminase
4-aminobutyrate aminotransferase	4-aminobutyrate transaminase
beta-alanine--oxoglutarate aminotransferase	4-aminobutyrate transaminase
GABA transaminase	4-aminobutyrate transaminase
gamma-amino-N-butyrate transaminase	4-aminobutyrate transaminase
(2-aminoethyl)phosphonate transaminase	2-aminoethylphosphonate--pyruvate transaminase
(2-aminoethyl)phosphonate--pyruvate aminotransferase	2-aminoethylphosphonate--pyruvate transaminase
(2-aminoethyl)phosphonic acid aminotransferase	2-aminoethylphosphonate--pyruvate transaminase
2-aminoethylphosphonate aminotransferase	2-aminoethylphosphonate--pyruvate transaminase
2-aminoethylphosphonate--pyruvate aminotransferase	2-aminoethylphosphonate--pyruvate transaminase
dephosphocoenzyme A kinase	dephospho-CoA kinase
ATP:glycerol 3-phosphotransferase	glycerol kinase
glycerokinase	glycerol kinase
2-keto-3-deoxygluconokinase	2-dehydro-3-deoxygluconokinase
3-deoxy-2-oxo-D-gluconate kinase	2-dehydro-3-deoxygluconokinase
KDG kinase	2-dehydro-3-deoxygluconokinase
fructose 1-phosphate kinase	1-phosphofructokinase
2-keto-3-deoxy-galactonokinase	2-dehydro-3-deoxygalactonokinase
2-oxo-3-deoxygalactonate kinase	2-dehydro-3-deoxygalactonokinase
4-diphosphocytidyl-2-C-methyl-D-erythritol kinase	4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol kinase
acetate kinase (phosphorylating)	acetate kinase
acetic kinase	acetate kinase
acetokinase	acetate kinase
AK	acetate kinase
gamma-glutamyl kinase	glutamate 5-kinase
adenylic kinase	adenylate kinase
adenylokinase	adenylate kinase
myokinase	adenylate kinase
hydroxymethylpyrimidine phosphokinase	phosphomethylpyrimidine kinase
deoxyguanylate kinase	guanylate kinase
GMP kinase	guanylate kinase
guanosine monophosphate kinase	guanylate kinase
CMP kinase	cytidylate kinase
cytidine monophosphate kinase	cytidylate kinase
dCMP kinase	cytidylate kinase
deoxycytidine kinase	cytidylate kinase
deoxycytidylate kinase	cytidylate kinase
3'-dephospho-CoA pyrophosphorylase	pantetheine-phosphate adenylyltransferase
dephospho-CoA diphosphorylase	pantetheine-phosphate adenylyltransferase
dephospho-CoA pyrophosphorylase	pantetheine-phosphate adenylyltransferase
dephospho-coenzyme A pyrophosphorylase	pantetheine-phosphate adenylyltransferase
phosphopantetheine adenylyltransferase	pantetheine-phosphate adenylyltransferase
PPAT	pantetheine-phosphate adenylyltransferase
dTDP-glucose diphosphorylase	glucose-1-phosphate thymidylyltransferase
dTDP-glucose pyrophosphorylase	glucose-1-phosphate thymidylyltransferase
dTDP-glucose synthase	glucose-1-phosphate thymidylyltransferase
CDP-diacylglycerol synthase	phosphatidate cytidylyltransferase
CDP-diglyceride diphosphorylase	phosphatidate cytidylyltransferase
CDP-diglyceride pyrophosphorylase	phosphatidate cytidylyltransferase
CDP-diglyceride synthetase	phosphatidate cytidylyltransferase
4-diphosphocytidyl-2-C-methyl-D-erythritol synthase	2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase
MCT	2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase
MEP cytidylyltransferase	2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase
3-phosphatidyl-1'-glycerol-3'-phosphate synthase	CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase
glycerophosphate phosphatidyltransferase	CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase
PGP synthase	CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase
phosphatidylglycerophosphate synthase	CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase
MraY transferase	phospho-N-acetylmuramoyl-pentapeptide-transferase
phospho-MurNAc-pentapeptide transferase	phospho-N-acetylmuramoyl-pentapeptide-transferase
phospho-N-acetylmuramoyl pentapeptide translocase	phospho-N-acetylmuramoyl-pentapeptide-transferase
phospho-NAc-muramoyl-pentapeptide translocase (UMP)	phospho-N-acetylmuramoyl-pentapeptide-transferase
phosphoacetylmuramoylpentapeptide translocase	phospho-N-acetylmuramoyl-pentapeptide-transferase
phosphoacetylmuramoylpentapeptidetransferase	phospho-N-acetylmuramoyl-pentapeptide-transferase
UDP-MurNAc-Ala-gamma-DGlu-Lys-DAla-DAla:undecaprenylphosphate transferase	phospho-N-acetylmuramoyl-pentapeptide-transferase
UDP-MurNAc-L-Ala-D-gamma-Glu-L-Lys-D-Ala-D-Ala:C(55)-isoprenoid alcohol transferase	phospho-N-acetylmuramoyl-pentapeptide-transferase
UDP-MurNAc-pentapeptide phosphotransferase	phospho-N-acetylmuramoyl-pentapeptide-transferase
histidine protein kinase	histidine kinase
HK1	histidine kinase
protein histidine kinase	histidine kinase
protein kinase	histidine kinase
protein kinase (histidine)	histidine kinase
biotin synthetase	biotin synthase
cysteine desulfurylase	cysteine desulfurase
lipoate synthase	lipoyl synthase
3-ketoadipate enol-lactonase	3-oxoadipate enol-lactonase
3-oxoadipic enol-lactone hydrolase	3-oxoadipate enol-lactonase
beta-ketoadipate enol-lactone hydrolase	3-oxoadipate enol-lactonase
beta-ketoadipic enol-lactone hydrolase	3-oxoadipate enol-lactonase
carboxymethylbutenolide lactonase	3-oxoadipate enol-lactonase
dienelactone hydrolase	carboxymethylenebutenolidase
maleylacetate enol-lactonase	carboxymethylenebutenolidase
glyoxalase II	hydroxyacylglutathione hydrolase
acid phosphomonoesterase	acid phosphatase
glycerophosphatase	acid phosphatase
phosphomonoesterase	acid phosphatase
E. coli exonuclease III	exodeoxyribonuclease III
exonuclease III	exodeoxyribonuclease III
avicelase	cellulase
beta-1,4-endoglucan hydrolase	cellulase
beta-1,4-glucanase	cellulase
carboxymethyl cellulase	cellulase
celludextrinase	cellulase
endo-1,4-beta-D-glucanase	cellulase
endo-1,4-beta-D-glucanohydrolase	cellulase
endo-1,4-beta-glucanase	cellulase
amylo-1,6-glucosidase	amylo-alpha-1,6-glucosidase
dextrin 6-alpha-D-glucosidase	amylo-alpha-1,6-glucosidase
adenosylhomocysteine hydrolase	adenosylhomocysteinase
AdoHcyase	adenosylhomocysteinase
S-adenosylhomocysteinase	adenosylhomocysteinase
S-adenosylhomocysteine hydrolase	adenosylhomocysteinase
S-adenosylhomocysteine synthase	adenosylhomocysteinase
SAHase	adenosylhomocysteinase
aminoacylproline aminopeptidase	Xaa-Pro aminopeptidase
aminopeptidase P	Xaa-Pro aminopeptidase
proline aminopeptidase	Xaa-Pro aminopeptidase
X-Pro aminopeptidase	Xaa-Pro aminopeptidase
D-alanyl-D-alanine dipeptidase	D-Ala-D-Ala dipeptidase
carboxypeptidase IIW	muramoyltetrapeptide carboxypeptidase
glycoprotease	O-sialoglycoprotein endopeptidase
L-asparagine amidohydrolase	asparaginase
formylase	arylformamidase
formylkynureninase	arylformamidase
kynurenine formamidase	arylformamidase
formyl-FH(4) hydrolase	formyltetrahydrofolate deformylase
formyltetrahydrofolate hydrolase	formyltetrahydrofolate deformylase
acetylornithinase	acetylornithine deacetylase
N-acetylornithinase	acetylornithine deacetylase
benzoylglycine amidohydrolase	hippurate hydrolase
hippuricase	hippurate hydrolase
N-acyl-D-aspartate amidohydrolase	N-acyl-D-aspartate deacylase
PDF	peptide deformylase
polypeptide deformylase	peptide deformylase
4(5)-imidazolone-5(4)-propionic acid hydrolase	imidazolonepropionase
imidazolone propionic acid hydrolase	imidazolonepropionase
imidazolone-5-propionate hydrolase	imidazolonepropionase
allantoate amidinohydrolase	allantoicase
arginine dihydrolase	arginine deiminase
agmatine ureohydrolase	agmatinase
cytosine aminohydrolase	cytosine deaminase
GAH	guanine deaminase
guanase	guanine deaminase
guanine aminase	guanine deaminase
adenosine aminohydrolase	adenosine deaminase
cytidine aminohydrolase	cytidine deaminase
cytosine nucleoside deaminase	cytidine deaminase
1-aminocyclopropane carboxylic acid deaminase	1-aminocyclopropane-1-carboxylate deaminase
1-aminocyclopropane-1-carboxylate endolyase (deaminating)	1-aminocyclopropane-1-carboxylate deaminase
ACC deaminase	1-aminocyclopropane-1-carboxylate deaminase
acylphosphate phosphohydrolase	acylphosphatase
exopolypase	exopolyphosphatase
metaphosphatase	exopolyphosphatase
beta-diketonase	fumarylacetoacetase
fumarylacetoacetate hydrolase	fumarylacetoacetase
L-kynurenine hydrolase	kynureninase
oxalate carboxy-lyase	oxalate decarboxylase
acetoacetate carboxy-lyase	acetoacetate decarboxylase
benzoylformate carboxy-lyase	benzoylformate decarboxylase
aspartate alpha-decarboxylase	aspartate 1-decarboxylase
L-aspartate 1-carboxy-lyase	aspartate 1-decarboxylase
DAP decarboxylase	diaminopimelate decarboxylase
meso-2,6-diaminoheptanedioate carboxy-lyase	diaminopimelate decarboxylase
PEP carboxylase	phosphoenolpyruvate carboxylase
PEPCase	phosphoenolpyruvate carboxylase
phosphoenolpyruvic carboxylase	phosphoenolpyruvate carboxylase
4-carboxymuconolactone carboxy-lyase	4-carboxymuconolactone decarboxylase
phosphatidyl-L-serine carboxy-lyase	phosphatidylserine decarboxylase
PS decarboxylase	phosphatidylserine decarboxylase
3-phosphonopyruvate carboxy-lyase	phosphonopyruvate decarboxylase
2-deoxy-D-ribose-5-phosphate acetaldehyde-lyase	deoxyribose-phosphate aldolase
deoxyriboaldolase	deoxyribose-phosphate aldolase
phosphodeoxyriboaldolase	deoxyribose-phosphate aldolase
2-amino-4-hydroxy-6-(D-erythro-1,2,3-trihydroxypropyl)-7,8- dihydropteridine glycolaldehyde-lyase	dihydroneopterin aldolase
ICL	isocitrate lyase
isocitrase	isocitrate lyase
isocitratase	isocitrate lyase
isocitrate glyoxylate-lyase	isocitrate lyase
isocitritase	isocitrate lyase
(2S,3R)-3-hydroxybutane-1,2,3-tricarboxylate pyruvate-lyase	methylisocitrate lyase
2-phosphoglycerate dehydratase	phosphopyruvate hydratase
enolase	phosphopyruvate hydratase
GDP-D-mannose 4,6-dehydratase	GDP-mannose 4,6-dehydratase
GDP-D-mannose dehydratase	GDP-mannose 4,6-dehydratase
guanosine 5'-diphosphate-D-mannose oxidoreductase	GDP-mannose 4,6-dehydratase
guanosine diphosphomannose 4,6-dehydratase	GDP-mannose 4,6-dehydratase
guanosine diphosphomannose oxidoreductase	GDP-mannose 4,6-dehydratase
DHDPS	dihydrodipicolinate synthase
dihydrodipicolinate synthetase	dihydrodipicolinate synthase
2-hydroxybutane-1,2,3-tricarboxylate hydro-lyase	2-methylcitrate dehydratase
2-methylcitrate hydro-lyase	2-methylcitrate dehydratase
3-dehydroquinate synthetase	3-dehydroquinate synthase
5-dehydroquinate synthase	3-dehydroquinate synthase
5-dehydroquinic acid synthetase	3-dehydroquinate synthase
dehydroquinate synthase	3-dehydroquinate synthase
5-enolpyruvylshikimate-3-phosphate phospholyase	chorismate synthase
histidase	histidine ammonia-lyase
histidinase	histidine ammonia-lyase
histidine alpha-deaminase	histidine ammonia-lyase
L-hydroxyaminoacid dehydratase	L-serine ammonia-lyase
L-serine deaminase	L-serine ammonia-lyase
L-serine dehydratase	L-serine ammonia-lyase
L-serine hydro-lyase (deaminating)	L-serine ammonia-lyase
serine deaminase	L-serine ammonia-lyase
arginosuccinase	argininosuccinate lyase
N-(L-argininosuccinate) arginine-lyase	argininosuccinate lyase
omega-N-(L-arginino)succinate arginine-lyase	argininosuccinate lyase
adenylosuccinase	adenylosuccinate lyase
succino AMP-lyase	adenylosuccinate lyase
(R)-S-lactoylglutathione methylglyoxal-lyase (isomerizing)	lactoylglutathione lyase
aldoketomutase	lactoylglutathione lyase
glyoxalase I	lactoylglutathione lyase
ketone-aldehyde mutase	lactoylglutathione lyase
methylglyoxalase	lactoylglutathione lyase
beta C-S lyase	cystathionine beta-lyase
beta-cystathionase	cystathionine beta-lyase
cysteine lyase	cystathionine beta-lyase
cystine lyase	cystathionine beta-lyase
3',5'-cyclic AMP synthetase	adenylate cyclase
adenyl cyclase	adenylate cyclase
adenylyl cyclase	adenylate cyclase
